相似	类别	idA	题A	作者A	字数A	idB	题B	作者B	字数B
0.924	归属存疑	2fdfb955fe51	唐明堂乐章 迎送王公	则天皇后	32	4f98d7f22f01	郊庙歌辞 武后明堂乐章 迎送王公	武则天	32
0.92	归属存疑	549fe9e724d4	郊庙歌辞 武后明堂乐章 皇帝行	武则天	32	f4b5577e9082	唐明堂乐章 皇帝行	则天皇后	32
0.914	归属存疑	9eb8ac539b7f	唐明堂乐章 商音	则天皇后	32	f6fe0229ac60	郊庙歌辞 武后明堂乐章 商音	武则天	32
0.913	归属存疑	83469cd2eccd	唐明堂乐章 羽音	则天皇后	24	c29d2b885684	郊庙歌辞 武后明堂乐章 羽音	武则天	24
0.912	归属存疑	7c0f1031bb02	唐明堂乐章 徵音	则天皇后	28	fbd890eb33ac	郊庙歌辞 武后明堂乐章 徵音	武则天	28
0.911	传本异文	6569d503707d	浣溪沙·藕荡桥边埋钓筒	纳兰性德	42	bfd7b1ef5621	浣溪沙·寄严荪友	纳兰性德	42
0.909	归属存疑	82032d12e9f2	渡汉江	宋之问	20	b0cb25b73147	渡汉江	李频	20
0.909	传本异文	3c44da9277ac	采桑子·梦一场	纳兰性德	44	a2158ace82b3	采桑子·谢家庭院残更立	纳兰性德	44
0.906	归属存疑	526cbc413e08	蝶恋花	张先	60	5d8e9ba10ada	鹊踏枝・蝶恋花	晏殊	60
0.906	归属存疑	1ebd1100caec	郊庙歌辞 武后明堂乐章 配飨	武则天	30	226e147d9a73	唐明堂乐章 配飨	则天皇后	30
0.906	传本异文	08f57541acae	孟子·公孙丑下 其54	孟子	6	21adfc76fbcc	孟子·公孙丑下 其46	孟子	7
0.898	归属存疑	2ef7b3df4e80	唐明堂乐章 角音	则天皇后	24	3dad2d442803	郊庙歌辞 武后明堂乐章 角音	武则天	24
0.891	归属存疑	add67a6221a0	郊庙歌辞 武后大享昊天乐章 四	不详	50	d72a8f124cd2	唐享昊天乐 第四	则天皇后	50
0.889	归属存疑	4539e680467d	春思	皇甫冉	56	b871588b525b	赋得	刘长卿	56
0.885	归属存疑	85c21eac3dae	郊庙歌辞 武后明堂乐章 登歌	武则天	32	edc6d4098f6e	唐明堂乐章 登歌	则天皇后	32
0.879	归属存疑	32f59ac30f54	郊庙歌辞 武后大享拜洛乐章 咸和	不详	42	a5e2e95b90ea	唐大飨拜洛乐章 咸和	则天皇后	42
0.872	传本异文	68666bdd8809	孟子·梁惠王下 其28	孟子	10	bab292a63343	孟子·梁惠王下 其30	孟子	10
0.871	归属存疑	93ef9ee4adb9	舞曲歌辞 功成庆善乐舞词	不详	99	a153ea339bb7	幸武功庆善宫	太宗皇帝	99
0.867	归属存疑	148e845ca565	唐享昊天乐 第三	则天皇后	48	6648d314c2aa	郊庙歌辞 武后大享昊天乐章 三	不详	48
0.867	归属存疑	2fd789330685	郊庙歌辞 武后大享昊天乐章 十一	不详	31	d26caa383ef9	唐享昊天乐 第十一	则天皇后	31
0.867	归属存疑	055a04afb89a	郊庙歌辞 武后大享拜洛乐章 显和	不详	36	f4f519c4f546	唐大飨拜洛乐章 显和	则天皇后	36
0.866	归属存疑	5c7a2055ac16	郊庙歌辞 武后大享昊天乐章 一	不详	30	d124fd2dfe74	唐享昊天乐 第一	则天皇后	30
0.865	归属存疑	1c3cc21c9ae9	唐大飨拜洛乐章 德和	则天皇后	40	c78beccc12ba	郊庙歌辞 武后大享拜洛乐章 德和	不详	40
0.862	归属存疑	1fe23b7ef6e8	夜上受降城闻笛	李益	28	9059fb2bf5cf	杂曲歌辞 婆罗门	杨敬述进	28
0.86	归属存疑	102dfb06ef0b	访羊尊师	孙革	20	3e5aa569e214	寻隐者不遇	贾岛	20
0.854	归属存疑	83acd614dfb1	度南涧	蔡襄	28	e650a54ebb26	桃花谿	张旭	28
0.854	归属存疑	59467c4b1586	送李端	严维	40	a67f557c3a8a	李端公	卢纶	40
0.853	归属存疑	2d7968134da1	郊庙歌辞 武后大享拜洛乐章 归和	不详	32	da56cd460f10	唐大飨拜洛乐章 归和	则天皇后	32
0.849	归属存疑	58ac644c6ec3	郊庙歌辞 武后大享昊天乐章 五	不详	32	8972bff13d4b	唐享昊天乐 第五	则天皇后	32
0.848	归属存疑	1498a5128098	郊庙歌辞 武后大享拜洛乐章 致和	不详	32	84d79c6fd584	唐大飨拜洛乐章 致和	则天皇后	32
0.84	归属存疑	35a00246e04f	郊庙歌辞 武后大享拜洛乐章 九和	不详	32	7643743d553d	唐大飨拜洛乐章 九和	则天皇后	32
0.84	归属存疑	d852217fd5fd	唐享昊天乐 第十二	则天皇后	24	fa44096c5e72	郊庙歌辞 武后大享昊天乐章 十二	不详	24
0.839	传本异文	a9a69a6b42ff	清平调词三首 二	李白	28	c109b3fe24fa	清平调 二	李白	28
0.839	归属存疑	c89d89ba76f3	唐享昊天乐 第八	则天皇后	28	cafdcd4384c3	郊庙歌辞 武后大享昊天乐章 八	不详	28
0.834	归属存疑	99290de62ef1	郊庙歌辞 武后大享拜洛乐章 敬和	不详	32	f04f828109f3	唐大飨拜洛乐章 敬和	则天皇后	32
0.834	归属存疑	a6c5619bd7eb	郊庙歌辞 武后大享拜洛乐章 通和	不详	32	d0ed2436d08b	唐大飨拜洛乐章 通和	则天皇后	32
0.832	归属存疑	53b2eb2bf6b9	郊庙歌辞 武后大享拜洛乐章 昭和	不详	32	89c48d1fbed1	唐大飨拜洛乐章 昭和	则天皇后	32
0.829	归属存疑	56a621ba2c84	郊庙歌辞 武后大享拜洛乐章 显和	不详	40	fa03c7733f89	唐大飨拜洛乐章 拜洛	则天皇后	40
0.825	归属存疑	273d7dedd9bf	唐大飨拜洛乐章 齐和	则天皇后	28	c95ca5f3310b	郊庙歌辞 武后大享拜洛乐章 齐和	不详	27
0.824	归属存疑	af2ad75a1725	郊庙歌辞 武后大享昊天乐章 十	不详	32	e8008f01642e	唐享昊天乐 第十	则天皇后	32
0.818	归属存疑	356f33433650	郊庙歌辞 武后大享昊天乐章 二	不详	24	9d06dc78d0da	唐享昊天乐 第二	则天皇后	24
0.81	归属存疑	9624b8cb7ca1	郊庙歌辞 武后大享拜洛乐章 昭和	不详	32	b43ec8192fd0	唐大飨拜洛乐章 昭和	则天皇后	32
0.809	归属存疑	3b39e7821874	郊庙歌辞 武后大享拜洛乐章 禋和	不详	32	43973dcc98f0	唐大飨拜洛乐章 禋和	则天皇后	32
0.801	传本异文	04a95e7c57ea	郊庙歌辞 封泰山乐章 舒和	张说	28	3688e9a8e85d	郊庙歌辞 享太庙乐章 舒和	张说	28
0.797	归属存疑	49dc64c939f0	郊庙歌辞 武后大享拜洛乐章 又归和	不详	28	ba8d4f576697	唐大飨拜洛乐章 归和	则天皇后	28
0.797	归属存疑	0100fb214a0c	唐享昊天乐 第六	则天皇后	32	edcdfc6338c1	郊庙歌辞 武后大享昊天乐章 六	不详	32
0.792	归属存疑	60ac15ce9b2a	郊庙歌辞 祀圜丘乐章 寿和	褚亮	16	eb048e433a43	郊庙歌辞 享太庙乐章 寿和	魏征、褚亮	16
0.791	归属存疑	076eea7732df	中春麟德殿会百僚观新乐诗一章章十六句	德宗皇帝	80	7f4f027c0621	舞曲歌辞 中和乐舞词	不详	80
0.785	归属存疑	1cf389bab3e8	唐享昊天乐 第九	则天皇后	40	2d53b585fa4c	郊庙歌辞 武后大享昊天乐章 九	不详	40
0.781	归属存疑	4b409ba47acb	诉衷情	张先	44	ffceb2b49f9d	诉衷情	晏殊	44
0.763	传本异文	9ec4d839f620	孟子·梁惠王下 其17	孟子	14	bab292a63343	孟子·梁惠王下 其30	孟子	10
0.763	传本异文	06ebb6865b1b	论语·颜渊篇 其15	孔子及弟子	17	96dcebcfeb72	论语·雍也篇 其27	孔子及弟子	19
0.751	传本异文	68666bdd8809	孟子·梁惠王下 其28	孟子	10	9ec4d839f620	孟子·梁惠王下 其17	孟子	14
0.738	传本异文	cfcc4e7b50fa	论语·先进篇 其7	孔子及弟子	30	da7d20bb5672	论语·雍也篇 其3	孔子及弟子	41
0.719	传本异文	2a5597e36409	孟子·梁惠王上 其42	孟子	15	d72ca22a7591	孟子·梁惠王上 其48	孟子	5
0.715	归属存疑	3e2e145b3617	郊庙歌辞 武后大享昊天乐章 七	不详	16	5e3ccfaa9a96	唐享昊天乐 第七	则天皇后	16
0.71	传本异文	8b102ddd9a5a	郊庙歌辞 享太庙乐章 雍和二章 二	张说	32	b9ee62d36041	郊庙歌辞 封泰山乐章 雍和	张说	32
0.703	归属存疑	5226b23e48e2	春怨	金昌绪	20	9b42b1875908	颂古三十二首  其二三	释明辩	20
0.697	归属存疑	17ad9212dbd2	集灵台二首 二	张祜	28	5741e900317a	虢国夫人	杜甫	28
0.695	传本异文	5c626f85ff09	论语·卫灵公篇 其13	孔子及弟子	15	c9827c785225	论语·子罕篇 其18	孔子及弟子	12
0.664	传本异文	0ca3887ee6a2	论语·里仁篇 其20	孔子及弟子	14	74f7285f01be	论语·学而篇 其11	孔子及弟子	24
0.655	归属存疑	5d7dbfb796bb	论语·颜渊篇 其13	孔子及弟子	14	d45120126467	大学·大学 其8	曾子（传）	30
0.647	传本异文	7ac589af2fa9	论语·学而篇 其8	孔子及弟子	27	c00e25454d22	论语·子罕篇 其25	孔子及弟子	16
0.617	传本异文	26d98203ff40	孟子·滕文公下 其6	孟子	35	a8f1b19615aa	孟子·滕文公下 其9	孟子	7
0.575	传本异文	08f57541acae	孟子·公孙丑下 其54	孟子	6	fca864b1d628	孟子·公孙丑下 其52	孟子	33
0.571	传本异文	d237c3cfb2c0	孟子·公孙丑下 其34	孟子	49	e2e77f97e3ce	孟子·公孙丑下 其37	孟子	14
0.57	传本异文	aac44ab70b35	孟子·梁惠王上 其23	孟子	9	f55675a45fdd	孟子·梁惠王上 其30	孟子	23
